season,week,game_id,home_team,away_team,qb_ypa_home,qb_ypa_away,net_yds_home,net_yds_away,pred_logistic,pred_tree,pred_bt,pred_ann
2025,3,2025-W03-BUF-MIA,BUF,MIA,7.613009,6.282515,123.333333,-91.333333,1,0.778,1,0.5
2025,3,2025-W03-CAR-ATL,CAR,ATL,5.135101,6.066076,-45.666667,105.666667,0.393,0.438,0,0.5
2025,3,2025-W03-CLE-GB,CLE,GB,4.976852,8.42827,72.333333,65.666667,0.012,0.778,0,0.5
2025,3,2025-W03-JAX-HOU,JAX,HOU,5.914772,6.985461,57.666667,-41.666667,0.986,0.778,0,0.5
2025,3,2025-W03-MIN-CIN,MIN,CIN,7.696825,5.714224,-1.666667,-134.333333,0.501,0.778,0.181,0.5
2025,3,2025-W03-NE-PIT,NE,PIT,7.827458,6.773223,29.666667,-137.333333,0.514,0.778,0.019,0.5
2025,3,2025-W03-PHI-LA,PHI,LA,6.087368,7.747762,-42,74,0.997,0.438,0.984,0.5
2025,3,2025-W03-TB-NYJ,TB,NYJ,6.303709,6.38468,17.666667,-59,0.976,0.778,0.945,0.5
2025,3,2025-W03-TEN-IND,TEN,IND,5.022063,9.264476,-122.333333,141,0.001,0.24,0,0.5
2025,3,2025-W03-WAS-LV,WAS,LV,7.461905,8.266208,20.333333,-10,0.998,0.778,1,0.5
2025,3,2025-W03-LAC-DEN,LAC,DEN,8.232961,5.795556,87.333333,-50,1,0.778,1,0.5
2025,3,2025-W03-SEA-NO,SEA,NO,8.852124,5.352494,-4.666667,-13,0.93,0.778,0.003,0.5
2025,3,2025-W03-CHI-DAL,CHI,DAL,7.911255,6.320203,-35,-4.333333,0.457,0.438,1,0.5
2025,3,2025-W03-SF-ARI,SF,ARI,7.331654,6.321182,94,-59.666667,0.87,0.778,0.985,0.5
2025,3,2025-W03-NYG-KC,NYG,KC,6.838717,6.372572,-70.666667,24,0.013,0.24,0.522,0.5
2025,3,2025-W03-BAL-DET,BAL,DET,9.681445,8.304029,-57,67,0.988,0.438,0.968,0.5
