season,week,game_id,home_team,away_team,home_points,away_points,home_win
2025,4,2025-W04-ARI-SEA,ARI,SEA,20,23,0
2025,4,2025-W04-PIT-MIN,PIT,MIN,24,21,1
2025,4,2025-W04-ATL-WAS,ATL,WAS,34,27,1
2025,4,2025-W04-BUF-NO,BUF,NO,31,19,1
2025,4,2025-W04-DET-CLE,DET,CLE,34,10,1
2025,4,2025-W04-HOU-TEN,HOU,TEN,26,0,1
2025,4,2025-W04-NE-CAR,NE,CAR,42,13,1
2025,4,2025-W04-NYG-LAC,NYG,LAC,21,18,1
2025,4,2025-W04-TB-PHI,TB,PHI,25,31,0
2025,4,2025-W04-LA-IND,LA,IND,27,20,1
2025,4,2025-W04-SF-JAX,SF,JAX,21,26,0
2025,4,2025-W04-KC-BAL,KC,BAL,37,20,1
2025,4,2025-W04-LV-CHI,LV,CHI,24,25,0
2025,4,2025-W04-MIA-NYJ,MIA,NYJ,27,21,1
2025,4,2025-W04-DEN-CIN,DEN,CIN,28,3,1
